Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/27/14 15:04,9/27/14 15:07,8.68021,4.15653,0.993991,0.161198,0.0148147
9/27/14 15:12,9/27/14 15:15,9.12909,4.48162,1.07546,0.159297,0.0142376
9/27/14 15:20,9/27/14 15:23,9.62033,4.95562,1.21442,0.181615,0.0138535
9/27/14 15:28,9/27/14 15:31,8.91574,4.30296,1.03491,0.169763,0.0136237
9/27/14 15:36,9/27/14 15:39,9.367,4.50411,1.11933,0.185489,0.0145179
9/27/14 15:44,9/27/14 15:47,9.25081,4.65691,1.10996,0.159812,0.0114772
9/27/14 15:52,9/27/14 15:55,8.4371,4.25545,0.988101,0.108464,0.0092044
9/27/14 16:00,9/27/14 16:03,8.49004,3.92629,0.882351,0.0909985,0.0144056
9/27/14 16:24,9/27/14 16:27,8.03355,3.844,0.876051,0.114059,0.0102966
9/27/14 16:32,9/27/14 16:35,7.96103,3.87046,0.875215,0.108087,0.0104528
9/27/14 16:40,9/27/14 16:43,7.99505,3.66246,0.834289,0.090962,0.0108244
9/27/14 16:48,9/27/14 16:51,8.08595,3.74247,0.838017,0.117583,0.0113755
9/27/14 16:56,9/27/14 16:59,8.19596,3.99461,0.918784,0.11901,0.0105042
9/27/14 17:04,9/27/14 17:07,8.25254,3.85484,0.881611,0.114449,0.0135894
9/27/14 17:12,9/27/14 17:15,8.49986,3.77592,0.859283,0.144785,0.0118585
9/27/14 17:20,9/27/14 17:23,8.65561,4.0558,0.918768,0.114818,0.0126498
9/27/14 17:28,9/27/14 17:31,8.48137,3.82414,0.868266,0.128771,0.0159722
9/27/14 17:36,9/27/14 17:39,8.66176,3.66499,0.853495,0.110588,0.011371
9/27/14 17:52,9/27/14 17:55,9.06866,3.67905,0.84524,0.118795,0.0171506
9/27/14 18:00,9/27/14 18:03,9.37097,3.96306,0.95368,0.119706,0.0116447
9/27/14 18:08,9/27/14 18:11,9.41724,3.98591,0.94225,0.116355,0.0129878
9/27/14 18:16,9/27/14 18:19,9.22646,3.71597,0.873873,0.149743,0.0129529
9/27/14 18:24,9/27/14 18:27,9.20377,3.57551,0.848699,0.135472,0.0142067
9/27/14 18:32,9/27/14 18:35,9.35954,3.74449,0.889434,0.145171,0.0168489
9/27/14 18:40,9/27/14 18:43,9.58237,3.61532,0.877961,0.11171,0.0141276
9/27/14 18:48,9/27/14 18:51,9.60536,3.52257,0.84739,0.124259,0.0135726
9/27/14 18:56,9/27/14 18:59,9.93323,3.69733,0.887779,0.193795,0.0122493
9/27/14 19:04,9/27/14 19:07,9.38999,3.69133,0.897867,0.121167,0.0135825
9/27/14 19:12,9/27/14 19:15,12.2466,4.44346,1.13779,0.174372,0.013156
9/27/14 19:20,9/27/14 19:23,14.9407,4.87155,1.28296,0.202564,0.0179582
9/27/14 19:28,9/27/14 19:31,12.5752,4.54405,1.12889,0.158144,0.0147819
9/27/14 19:36,9/27/14 19:39,12.0531,4.17342,1.05158,0.197083,0.0138948
9/27/14 19:44,9/27/14 19:47,12.1801,4.54919,1.14468,0.164159,0.0168477
9/27/14 19:52,9/27/14 19:55,11.4349,3.90149,0.979649,0.163202,0.0133159
9/27/14 20:00,9/27/14 20:03,11.42,4.01224,1.00568,0.155656,0.0153883
9/27/14 20:08,9/27/14 20:11,11.0758,3.92088,0.970658,0.156654,0.015969
9/27/14 20:16,9/27/14 20:19,10.3599,3.78018,0.925336,0.136015,0.0148827
9/27/14 20:24,9/27/14 20:27,10.7755,3.77397,0.929576,0.18789,0.0137708
9/27/14 20:32,9/27/14 20:35,10.5182,3.87865,0.955856,0.135747,0.015785
9/27/14 20:40,9/27/14 20:43,10.1648,3.57795,0.879258,0.135768,0.0131143
9/27/14 20:48,9/27/14 20:51,10.6734,3.67045,0.924284,0.165736,0.0167195
9/27/14 20:56,9/27/14 20:59,10.8183,3.81494,0.964362,0.149833,0.0118747
9/27/14 21:04,9/27/14 21:07,10.2616,3.48643,0.849607,0.116913,0.0143249
9/27/14 21:12,9/27/14 21:15,10.4755,3.45419,0.848654,0.128344,0.017921
9/27/14 21:20,9/27/14 21:23,10.2404,3.47977,0.833142,0.130978,0.0148727
9/27/14 21:28,9/27/14 21:31,10.3409,3.52929,0.865333,0.121771,0.011904
9/27/14 21:36,9/27/14 21:39,10.8067,3.57667,0.883417,0.126288,0.0142463
9/27/14 21:44,9/27/14 21:47,11.3854,3.8844,0.959168,0.142476,0.0155244
9/27/14 21:52,9/27/14 21:55,11.2787,3.88088,1.00478,0.15073,0.0159551
9/27/14 22:00,9/27/14 22:03,10.9304,3.61757,0.928007,0.14654,0.012231
9/27/14 22:32,9/27/14 22:35,12.6182,3.63344,0.946994,0.158876,0.0148909
9/27/14 22:40,9/27/14 22:43,11.7929,3.58949,0.934324,0.139705,0.0141615
9/27/14 22:48,9/27/14 22:51,12.255,3.47674,0.887415,0.164395,0.0140028
9/27/14 22:56,9/27/14 22:59,11.455,3.64182,0.927063,0.141188,0.0147629
9/27/14 23:04,9/27/14 23:07,12.2268,3.35918,0.878292,0.168918,0.0166155
9/27/14 23:12,9/27/14 23:15,11.78,3.41273,0.88261,0.135324,0.0122789
9/27/14 23:20,9/27/14 23:23,11.1474,3.5783,0.9192,0.128283,0.0172218
9/27/14 23:28,9/27/14 23:31,10.47,3.32997,0.895749,0.114989,0.0168723
9/27/14 23:36,9/27/14 23:39,11.034,3.32197,0.858077,0.137103,0.0146677
9/27/14 23:44,9/27/14 23:47,11.3212,3.53581,0.906359,0.123197,0.0149341
9/27/14 23:52,9/27/14 23:55,10.9961,3.22848,0.837824,0.128843,0.0172719
9/28/14 0:00,9/28/14 0:03,10.9217,3.28639,0.86043,0.113247,0.0167004
9/28/14 0:08,9/28/14 0:11,11.3246,3.45068,0.940066,0.136176,0.0173486
9/28/14 0:16,9/28/14 0:19,11.4713,3.29704,0.871687,0.143304,0.0161952
9/28/14 0:24,9/28/14 0:27,10.9819,3.30467,0.876715,0.0931773,0.0140765
9/28/14 0:32,9/28/14 0:35,11.67,3.49678,0.932228,0.14881,0.0188271
9/28/14 0:40,9/28/14 0:43,11.1202,3.28654,0.937166,0.147579,0.0164767
9/28/14 0:48,9/28/14 0:51,10.9569,3.28801,0.941316,0.110154,0.0175778
9/28/14 0:56,9/28/14 0:59,11.4374,3.48429,0.995614,0.114,0.0184841
